Zone_ID,HID_No,Bay_Zone,Sub_Region,Full_Name,Territory,Type,IN_Count,OUT_Count,IN_Lanes,OUT_Lanes,Vehicle_Max,Vehicle_Precaution,Project,ZCU,HID_Type,HID_ID,Zone_ID2,Addr_No,Station_No
9,HID-OHT-009,B06,1,HID-B06-1(009),1,HID,4,4,3445→3462; 3544→3545; 6046→3454; 7776→3486,3477→3430; 3484→7779; 3511→3530; 3519→6050,37,35,M14 Project Ph-1,ZC530A,HID4,4EAM0701_3,9,3462,2212
9,HID-OHT-009,B06,1,HID-B06-1(009),1,HID,4,4,3445→3462; 3544→3545; 6046→3454; 7776→3486,3477→3430; 3484→7779; 3511→3530; 3519→6050,37,35,M14 Project Ph-1,ZC530A,HID4,4EKF0702_3,9,3486,2254
10,HID-OHT-010,B02,2,HID-B02-2(010),1,HID,5,5,3511→3530; 3570→3542; 3570→3571; 3613→3521; 6055→3520,3544→3545; 3565→3566; 3565→3597; 3579→7771; 3580→3582,37,35,M14 Project Ph-1,ZC533A,HID4,,,,
11,HID-OHT-011,B02,1,HID-B02-1(011),1,HID,5,5,3565→3566; 3565→3597; 3580→3582; 3640→3589; 7767→3581,3570→3542; 3570→3571; 3606→3623; 3613→3521; 3614→6059,37,35,M14 Project Ph-1,ZC535A,HID4,4AFZ08-101,11,3521,35008
12,HID-OHT-012,B02,2,HID-B02-2(012),1,HID,4,4,3606→3623; 3713→3657; 6064→3615; 7759→3649,3640→3589; 3647→7763; 3675→3694; 3683→6068,37,35,M14 Project Ph-1,ZC538A,HID4,,,,
13,HID-OHT-013,B02,1,HID-B02-1(013),1,HID,5,5,3675→3694; 3734→3706; 3734→3735; 3778→3685; 6073→3684,3713→3657; 3729→3730; 3729→3761; 3743→7754; 3744→3746,37,35,M14 Project Ph-1,ZC541A,HID4,,,,
14,HID-OHT-014,B02,2,HID-B02-2(014),1,HID,5,5,3729→3730; 3729→3761; 3744→3746; 3813→3753; 7750→3745,3734→3706; 3734→3735; 3767→3768; 3778→3685; 3779→6076,37,35,M14 Project Ph-1,ZC544A,HID4,4AFZ10-001,14,3744,14910
14,HID-OHT-014,B02,2,HID-B02-2(014),1,HID,5,5,3729→3730; 3729→3761; 3744→3746; 3813→3753; 7750→3745,3734→3706; 3734→3735; 3767→3768; 3778→3685; 3779→6076,37,35,M14 Project Ph-1,ZC544A,HID4,4AFZ10-101,14,3685,35010
14,HID-OHT-014,B02,2,HID-B02-2(014),1,HID,5,5,3729→3730; 3729→3761; 3744→3746; 3813→3753; 7750→3745,3734→3706; 3734→3735; 3767→3768; 3778→3685; 3779→6076,37,35,M14 Project Ph-1,ZC544A,HID4,4AFZ10-301,14,3746,16408
14,HID-OHT-014,B02,2,HID-B02-2(014),1,HID,5,5,3729→3730; 3729→3761; 3744→3746; 3813→3753; 7750→3745,3734→3706; 3734→3735; 3767→3768; 3778→3685; 3779→6076,37,35,M14 Project Ph-1,ZC544A,HID4,4DCL1001_1,14,3746,2842
