_time,VEHICLE,HID
2026-04-21 14:02:00.719+0900,BV0100,10711
2026-04-21 14:02:00.720+0900,BV0209,10611
2026-04-21 14:02:00.720+0900,BV0209,3
2026-04-21 14:02:00.886+0900,BV0327,10811
2026-04-21 14:02:01.216+0900,BV0151,11082
2026-04-21 14:02:01.399+0900,BV0150,10631
2026-04-21 14:02:01.603+0900,BV0307,33
2026-04-21 14:02:01.980+0900,BV0092,10651
2026-04-21 14:02:02.033+0900,BV0327,10811
2026-04-21 14:02:02.502+0900,BV0168,10711
2026-04-21 14:02:02.592+0900,BV0151,11082
2026-04-21 14:02:03.193+0900,BV0343,3
2026-04-21 14:02:03.505+0900,BV0329,11121
2026-04-21 14:02:03.989+0900,BV0327,10811
2026-04-21 14:02:04.442+0900,BV0231,10681
2026-04-21 14:02:04.442+0900,BV0205,10611
2026-04-21 14:02:04.442+0900,BV0205,3
2026-04-21 14:02:04.743+0900,BV0332,11091
2026-04-21 14:02:05.538+0900,BV0076,10651
2026-04-21 14:02:05.795+0900,BV0098,34
2026-04-21 14:02:06.901+0900,BV0190,10811
2026-04-21 14:02:06.966+0900,BV0368,10721
2026-04-21 14:02:07.130+0900,BV0215,11121
2026-04-21 14:02:07.514+0900,BV0164,34
2026-04-21 14:02:07.924+0900,BV0190,10811
2026-04-21 14:02:08.137+0900,BV0077,10811
2026-04-21 14:02:08.327+0900,BV0098,34
2026-04-21 14:02:08.486+0900,BV0190,10811
2026-04-21 14:02:08.790+0900,BV0368,10681
2026-04-21 14:02:08.860+0900,BV0160,33
2026-04-21 14:02:08.869+0900,BV0140,3
2026-04-21 14:02:08.869+0900,BV0140,10641
2026-04-21 14:02:09.390+0900,BV0150,10611
2026-04-21 14:02:09.390+0900,BV0150,3
2026-04-21 14:02:09.451+0900,BV0306,10721
2026-04-21 14:02:10.371+0900,BV0215,11111
2026-04-21 14:02:10.393+0900,BV0160,33
2026-04-21 14:02:10.423+0900,BV0213,11082
2026-04-21 14:02:10.756+0900,BV0306,10721
2026-04-21 14:02:10.782+0900,BV0311,11091
2026-04-21 14:02:10.792+0900,BV0140,3
2026-04-21 14:02:10.792+0900,BV0140,10641
2026-04-21 14:02:10.793+0900,BV0368,10681
2026-04-21 14:02:10.832+0900,BV0307,10781
2026-04-21 14:02:10.832+0900,BV0307,34
2026-04-21 14:02:11.665+0900,BV0306,10721
2026-04-21 14:02:11.671+0900,BV0077,10781
2026-04-21 14:02:11.677+0900,BV0311,11091
2026-04-21 14:02:11.897+0900,BV0311,11091
2026-04-21 14:02:11.952+0900,BV0130,11121
2026-04-21 14:02:12.242+0900,BV0190,10811
2026-04-21 14:02:12.446+0900,BV0150,10611
2026-04-21 14:02:12.446+0900,BV0150,3
2026-04-21 14:02:13.019+0900,BV0077,34
2026-04-21 14:02:13.131+0900,BV0197,3
2026-04-21 14:02:13.131+0900,BV0197,10641
2026-04-21 14:02:13.146+0900,BV0304,10611
2026-04-21 14:02:13.212+0900,BV0242,10631
2026-04-21 14:02:13.228+0900,BV0324,11041
2026-04-21 14:02:13.525+0900,BV0096,33
2026-04-21 14:02:13.567+0900,BV0190,10811
2026-04-21 14:02:14.705+0900,BV0197,3
2026-04-21 14:02:14.705+0900,BV0197,10641
2026-04-21 14:02:14.714+0900,BV0195,3
2026-04-21 14:02:14.767+0900,BV0202,34
2026-04-21 14:02:14.793+0900,BV0343,10681
2026-04-21 14:02:14.986+0900,BV0077,34
2026-04-21 14:02:15.200+0900,BV0100,10631
2026-04-21 14:02:15.506+0900,BV0096,33
2026-04-21 14:02:15.510+0900,BV0150,10611
2026-04-21 14:02:15.510+0900,BV0150,3
2026-04-21 14:02:15.567+0900,BV0003,11121
2026-04-21 14:02:15.580+0900,BV0311,11091
2026-04-21 14:02:16.314+0900,BV0306,10721
2026-04-21 14:02:16.369+0900,BV0173,10611
2026-04-21 14:02:17.135+0900,BV0311,11091
2026-04-21 14:02:17.689+0900,BV0306,10721
2026-04-21 14:02:17.707+0900,BV0084,33
2026-04-21 14:02:17.763+0900,BV0205,10641
2026-04-21 14:02:17.944+0900,BV0372,10851
2026-04-21 14:02:18.618+0900,BV0321,11082
2026-04-21 14:02:18.681+0900,BV0155,34
2026-04-21 14:02:18.890+0900,BV0306,10721
2026-04-21 14:02:19.325+0900,BV0321,11082
2026-04-21 14:02:19.352+0900,BV0147,11121
2026-04-21 14:02:19.387+0900,BV0100,10631
2026-04-21 14:02:19.388+0900,BV0161,10851
2026-04-21 14:02:20.086+0900,BV0173,3
2026-04-21 14:02:20.086+0900,BV0173,10641
2026-04-21 14:02:20.102+0900,BV0340,10721
2026-04-21 14:02:20.119+0900,BV0321,11082
2026-04-21 14:02:21.109+0900,BV0084,33
2026-04-21 14:02:21.166+0900,BV0321,11082
2026-04-21 14:02:21.330+0900,BV0072,34
2026-04-21 14:02:22.243+0900,BV0152,10681
2026-04-21 14:02:23.191+0900,BV0340,10711
2026-04-21 14:02:23.225+0900,BV0160,10781
2026-04-21 14:02:23.225+0900,BV0160,34
